SETTLEMENT_DATE,SETTLEMENT_PERIOD,ND,TSD,ENGLAND_WALES_DEMAND,EMBEDDED_WIND_GENERATION,EMBEDDED_WIND_CAPACITY,EMBEDDED_SOLAR_GENERATION,EMBEDDED_SOLAR_CAPACITY,NON_BM_STOR,PUMP_STORAGE_PUMPING,IFA_FLOW,IFA2_FLOW,BRITNED_FLOW,MOYLE_FLOW,EAST_WEST_FLOW,NEMO_FLOW,NSL_FLOW,ELECLINK_FLOW
01-JAN-2021,1,28354,28969,26130,1018,6527,0,13080,0,14,2003,-1,0,215,203,999,0,0
01-JAN-2021,2,28501,29114,26281,1026,6527,0,13080,0,12,2004,-1,0,359,203,999,0,0
01-JAN-2021,3,27759,28376,25557,1039,6527,0,13080,0,16,2004,-1,0,362,202,999,0,0
01-JAN-2021,4,26912,27749,24792,1052,6527,0,13080,0,236,2004,-1,0,361,203,1000,0,0
01-JAN-2021,5,26004,27178,23933,1076,6527,0,13080,0,573,2004,-1,0,304,203,1000,0,0
01-JAN-2021,6,25361,26798,23284,1099,6527,0,13080,0,836,2003,-1,0,319,202,999,0,0
01-JAN-2021,7,24739,26442,22666,1119,6527,0,13080,0,1102,1812,-1,0,235,202,906,0,0
01-JAN-2021,8,24189,25901,22162,1139,6527,0,13080,0,1111,1805,-1,0,220,203,903,0,0
01-JAN-2021,9,23770,25539,21797,1163,6527,0,13080,0,1168,1806,-1,0,185,203,903,0,0
01-JAN-2021,10,23433,25196,21512,1186,6527,0,13080,0,1162,1806,-1,0,152,202,903,0,0
01-JAN-2021,11,23418,25161,21527,1197,6527,0,13080,0,1142,1805,-1,0,169,203,903,0,0
01-JAN-2021,12,23371,25048,21483,1208,6527,0,13080,0,1076,1806,-1,0,192,203,903,0,0
01-JAN-2021,13,24055,25601,22125,1202,6527,0,13080,0,945,1901,-1,0,172,203,950,0,0
01-JAN-2021,14,24462,25964,22485,1195,6527,0,13080,0,901,1905,-1,0,167,202,952,0,0
01-JAN-2021,15,25048,25728,23054,1200,6527,0,13080,0,79,1905,-1,0,37,203,952,0,0
01-JAN-2021,16,25259,25876,23237,1205,6527,0,13080,0,16,1904,-1,0,50,202,952,0,0
