dataset,line_simplification,error_bound,cr,nrmse
hepc,tp,0.001,1.0,0.0382
hepc,pip,0.001,1.68,0.0042
hepc,vw,0.001,1.9,0.0058
hepc,swab,0.001,1.0,0.0032
hepc,sip,0.001,3.97,0.0219
hepc,tp,0.023,2.64,0.0654
hepc,pip,0.023,5.61,0.0347
hepc,vw,0.023,8.83,0.0575
hepc,swab,0.023,1.05,0.0006
hepc,sip,0.023,22.38,0.1004
hepc,tp,0.046,4.97,0.0867
hepc,pip,0.046,9.51,0.0708
hepc,vw,0.046,11.49,0.0682
hepc,swab,0.046,1.14,0.0016
hepc,sip,0.046,35.44,0.1156
hepc,tp,0.068,6.91,0.1013
hepc,pip,0.068,11.07,0.0819
hepc,vw,0.068,13.66,0.0753
hepc,swab,0.068,1.29,0.0032
hepc,sip,0.068,45.8,0.1215
hepc,tp,0.09,9.86,0.1145
hepc,pip,0.09,14.18,0.0943
hepc,vw,0.09,19.85,0.0907
hepc,swab,0.09,1.46,0.0112
hepc,sip,0.09,51.33,0.1217
hepc,tp,0.01,1.0,0.0382
hepc,pip,0.01,4.1,0.02
hepc,vw,0.01,4.99,0.0295
hepc,swab,0.01,1.01,0.0006
hepc,sip,0.01,11.54,0.0724
hepc,tp,0.02,2.5,0.0595
hepc,pip,0.02,5.36,0.0312
hepc,vw,0.02,8.43,0.0556
hepc,swab,0.02,1.03,0.0004
hepc,sip,0.02,19.59,0.095
hepc,tp,0.03,4.04,0.0791
hepc,pip,0.03,7.77,0.0653
hepc,vw,0.03,9.54,0.0598
hepc,swab,0.03,1.07,0.0009
hepc,sip,0.03,26.58,0.1074
hepc,tp,0.04,4.88,0.0844
hepc,pip,0.04,8.81,0.0714
hepc,vw,0.04,10.45,0.0639
hepc,swab,0.04,1.11,0.0034
hepc,sip,0.04,34.62,0.1146
hepc,tp,0.05,5.85,0.095
hepc,pip,0.05,9.79,0.0704
hepc,vw,0.05,11.67,0.0688
hepc,swab,0.05,1.16,0.0019
hepc,sip,0.05,39.17,0.1166
hepc,tp,0.06,6.0,0.0983
