TIME sec  , mode 
   105.000, loc  
   104.700, loc  
   105.200, loc  
   105.890, loc  
   104.680, loc  
   153.540, fed1 
   149.090, fed1 
   148.680, fed1 
   150.910, fed1 
    94.830, fed2 
    92.490, fed2 
    89.270, fed2 
    90.350, fed2 
    91.240, fed2 
    88.100, fed2 
    95.640, fed3 
    90.340, fed3 
    90.580, fed3 
    90.590, fed3 
    90.180, fed3 
    89.790, fed3 
    76.620, fed4 
    73.400, fed4 
    73.120, fed4 
    73.200, fed4 
    73.010, fed4 
    72.290, fed4 
    68.240, fed5 
    62.750, fed5 
    62.870, fed5 
    63.980, fed5 
    62.970, fed5 
    62.900, fed5 
    61.140, fed6 
    58.160, fed6 
    57.830, fed6 
    58.440, fed6 
    57.900, fed6 
    58.260, fed6 
    56.570, fed7 
    52.840, fed7 
    52.940, fed7 
    53.890, fed7 
    53.760, fed7 
    53.880, fed7 
