TIME sec  , mode 
    37.950, loc  
    23.900, loc  
    23.460, loc  
    23.540, loc  
    23.790, loc  
    43.860, fed1 
    27.910, fed1 
    28.150, fed1 
    28.300, fed1 
    28.200, fed1 
    34.450, fed2 
    29.530, fed2 
    23.810, fed2 
    23.240, fed2 
    23.720, fed2 
    30.100, fed3 
    22.940, fed3 
    23.580, fed3 
    22.070, fed3 
    23.210, fed3 
    25.140, fed4 
    21.960, fed4 
    22.400, fed4 
    22.110, fed4 
    21.890, fed4 
    23.560, fed5 
    21.860, fed5 
    22.060, fed5 
    22.020, fed5 
    21.730, fed5 
    24.620, fed6 
    21.800, fed6 
    21.810, fed6 
    22.160, fed6 
    21.990, fed6 
    23.510, fed7 
    21.570, fed7 
    24.390, fed7 
    21.880, fed7 
    21.960, fed7 
