TIME sec  , mode 
    14.350, loc  
    16.370, fed1 
    16.290, fed1 
    29.210, fed1 
    15.890, fed1 
    12.700, fed2 
    11.590, fed2 
    15.980, fed2 
    16.060, fed2 
    11.680, fed3 
    13.410, fed3 
    14.020, fed3 
    15.250, fed3 
    16.040, fed4 
    10.610, fed4 
    13.190, fed4 
    14.560, fed4 
    11.830, fed5 
    12.840, fed5 
    12.640, fed5 
    15.820, fed5 
    12.680, fed6 
     9.680, fed6 
    11.890, fed6 
    12.670, fed6 
    11.910, fed7 
    10.670, fed7 
    10.800, fed7 
    13.610, fed7 
