TIME sec  , mode 
    14.330, loc  
    17.640, fed1 
    18.070, fed1 
    16.950, fed1 
    17.100, fed1 
    17.170, fed1 
    17.150, fed1 
    22.100, fed2 
    24.600, fed2 
    14.410, fed2 
    17.010, fed2 
    13.230, fed2 
    13.110, fed2 
    20.830, fed3 
    18.030, fed3 
    16.220, fed3 
    14.650, fed3 
    13.640, fed3 
    11.970, fed3 
    16.680, fed4 
    17.880, fed4 
    14.450, fed4 
    12.770, fed4 
    14.580, fed4 
    13.610, fed4 
    16.140, fed5 
    14.390, fed5 
    12.340, fed5 
    16.550, fed5 
    12.370, fed5 
    16.710, fed6 
    18.920, fed6 
    14.370, fed6 
    13.400, fed6 
    14.490, fed6 
    12.370, fed6 
    14.210, fed7 
    14.980, fed7 
    13.250, fed7 
    13.090, fed7 
    13.270, fed7 
    14.260, fed7 
