TIME sec  , mode 
     8.760, loc  
     8.780, loc  
     8.940, loc  
     9.310, loc  
     9.130, loc  
    11.930, fed1 
    11.940, fed1 
    11.920, fed1 
    12.080, fed1 
    11.910, fed1 
     7.960, fed2 
     7.960, fed2 
     8.960, fed2 
     7.950, fed2 
     7.980, fed2 
     7.950, fed3 
     6.950, fed3 
     7.970, fed3 
     6.960, fed3 
     7.970, fed3 
     7.960, fed4 
     6.960, fed4 
     6.960, fed4 
     6.960, fed4 
     6.940, fed4 
     6.980, fed5 
     6.950, fed5 
     6.960, fed5 
     6.990, fed5 
     6.960, fed5 
     6.970, fed6 
     6.970, fed6 
     6.910, fed6 
     7.970, fed6 
     6.970, fed6 
     6.970, fed7 
     6.940, fed7 
     6.970, fed7 
     6.990, fed7 
     6.990, fed7 
