TIME sec  , mode 
       nan, loc  
    56.170, fed1 
    56.510, fed1 
    55.170, fed1 
    45.130, fed2 
    42.670, fed2 
    40.580, fed2 
    40.000, fed2 
    41.870, fed3 
    39.000, fed3 
    35.350, fed3 
    37.100, fed3 
    37.430, fed4 
    35.310, fed4 
    31.870, fed4 
    31.550, fed4 
    34.160, fed5 
    33.680, fed5 
    30.560, fed5 
    30.870, fed5 
    34.670, fed6 
    31.920, fed6 
    31.660, fed6 
    31.910, fed6 
    34.050, fed7 
    32.780, fed7 
    30.160, fed7 
    28.770, fed7 
