TIME sec  , mode 
    49.280, loc  
    46.110, loc  
    46.610, loc  
    46.350, loc  
    46.550, loc  
    47.430, loc  
    54.450, fed1 
    50.140, fed1 
    51.990, fed1 
    51.640, fed1 
    37.860, fed2 
    36.370, fed2 
    42.560, fed2 
    40.210, fed2 
    40.870, fed2 
    45.690, fed2 
    36.260, fed3 
    36.310, fed3 
    36.990, fed3 
    40.750, fed3 
    37.900, fed3 
    35.730, fed3 
    33.450, fed4 
    33.850, fed4 
    30.830, fed4 
    31.470, fed4 
    34.280, fed4 
    29.370, fed5 
    29.820, fed5 
    30.990, fed5 
    29.870, fed5 
    29.600, fed5 
    30.920, fed5 
    29.060, fed6 
    28.590, fed6 
    29.140, fed6 
    28.480, fed6 
    29.100, fed6 
    28.020, fed6 
    29.270, fed7 
    27.720, fed7 
    27.590, fed7 
    28.070, fed7 
    28.130, fed7 
    28.860, fed7 
