AnimalID,Name,OutcomeSubtype,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color,class
A716220,Easy,Partner,Dog,Spayed Female,4 years,Dachshund Mix,Black/Tan,Transfer
A713022,,Partner,Dog,Intact Male,3 months,Irish Terrier Mix,Red,Transfer
A708860,,Partner,Cat,Unknown,4 weeks,Domestic Shorthair Mix,Brown Tabby,Transfer
A695348,Jackie,,Dog,Neutered Male,7 years,Dachshund,Brown/Black,Return_to_owner
A672193,Hickory,Medical,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Brown Tabby,Euthanasia
A692977,,,Dog,Neutered Male,8 months,German Shepherd Mix,Sable,Adoption
A712224,,,Dog,Neutered Male,8 years,Miniature Schnauzer Mix,Black/White,Adoption
A710190,Aslan,,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Brown Tabby,Adoption
A720830,Romeo,,Dog,Neutered Male,15 years,Chihuahua Longhair Mix,Black/White,Return_to_owner
A686777,Gandalf,Suffering,Cat,Neutered Male,3 years,Domestic Shorthair Mix,Brown Tabby/White,Euthanasia
A711881,,,Dog,Spayed Female,2 months,Dachshund Mix,Tan/White,Adoption
A708308,York,Partner,Cat,Intact Male,2 months,Domestic Shorthair Mix,Black/White,Transfer
A690024,Lucy,Partner,Cat,Intact Female,2 months,Domestic Shorthair,Blue/White,Transfer
A683665,,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,White/Brown Tabby,Adoption
A681147,,Partner,Dog,Spayed Female,2 months,Dachshund/Rat Terrier,Tricolor,Transfer
A700298,,Partner,Cat,Intact Female,2 days,Domestic Shorthair Mix,Tortie,Transfer
A708336,Socky,,Cat,Neutered Male,6 years,Domestic Shorthair Mix,Black/White,Adoption
A671947,Matt,,Dog,Neutered Male,10 months,Pit Bull Mix,Chocolate/White,Adoption
A681456,,Partner,Dog,Neutered Male,4 months,Labrador Retriever Mix,Tan/White,Transfer
A688429,,Partner,Dog,Intact Male,5 months,Manchester Terrier Mix,Black/Brown,Transfer
A688854,,Partner,Dog,Intact Female,3 years,English Bulldog Mix,Black Brindle,Transfer
A718377,Rosa,Partner,Dog,Intact Female,12 years,Chihuahua Shorthair Mix,Tan/Brown,Transfer
A699598,,SCRP,Cat,Unknown,5 months,Domestic Shorthair Mix,Brown Tabby/White,Transfer
A705143,Sheila,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby,Transfer
A712858,,Partner,Cat,Unknown,1 week,Domestic Shorthair Mix,Black,Transfer
A665981,,,Dog,Spayed Female,10 months,Chihuahua Longhair Mix,Buff,Adoption
A705706,,In Kennel,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Orange Tabby,Died
A674486,Hershey,,Dog,Neutered Male,1 year,Labrador Retriever Mix,Black,Return_to_owner
A681707,Bear,Suffering,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby,Euthanasia
A704512,Sid,,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Tan/White,Return_to_owner
A716273,Sadie,,Dog,Intact Female,6 years,Irish Wolfhound/Great Dane,Black/White,Return_to_owner
A719201,Sampson,,Dog,Neutered Male,5 months,Catahoula Mix,Brown Brindle,Adoption
A666247,Weto,,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Tan,Return_to_owner
A686535,,SCRP,Cat,Intact Male,8 months,Domestic Shorthair Mix,Black,Transfer
A674577,Santiago,,Dog,Neutered Male,2 years,Dogo Argentino Mix,White,Adoption
A629706,Patron,Aggressive,Dog,Intact Male,5 years,Pit Bull Mix,Brown Brindle/White,Euthanasia
A671133,Chuck,,Dog,Intact Male,1 year,American Bulldog Mix,White/Brown Brindle,Return_to_owner
A706868,,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Orange Tabby,Transfer
A682182,,Partner,Cat,Intact Male,2 days,Domestic Shorthair Mix,Black/White,Transfer
A709471,Brownie,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby/White,Adoption
A668654,Elvis,,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Black/Tricolor,Return_to_owner
A504891,Hans,,Dog,Intact Male,11 years,Dachshund,Black/Brown Brindle,Adoption
A713715,Cheyenne,,Dog,Spayed Female,9 years,Dachshund Wirehair/Miniature Poodle,Blue/Tan,Adoption
A713537,Abby,,Dog,Spayed Female,2 years,Miniature Schnauzer Mix,Blue/Tan,Adoption
A702308,,SCRP,Cat,Unknown,1 year,Siamese Mix,Lynx Point,Transfer
A700584,Zoey,,Dog,Spayed Female,2 years,Pit Bull Mix,Blue,Return_to_owner
A712028,,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby/White,Transfer
A715761,,SCRP,Cat,Spayed Female,5 years,Domestic Shorthair Mix,Calico,Transfer
A685702,Smokey,,Cat,Neutered Male,8 years,Domestic Shorthair Mix,Blue Tabby,Adoption
A640739,Sophie,Partner,Dog,Spayed Female,3 years,Pit Bull Mix,Brown/White,Transfer
A706815,,,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Blue Tabby,Adoption
A698319,Nik-O,,Dog,Spayed Female,4 years,Silky Terrier Mix,Silver/Tan,Adoption
A681064,Bishop,Partner,Dog,Intact Male,5 years,Doberman Pinsch,Black/Brown,Transfer
A699815,Bailey,,Dog,Spayed Female,5 months,Chihuahua Longhair Mix,Tan/White,Adoption
A704657,Trudy,,Dog,Spayed Female,1 year,Black Mouth Cur Mix,Brown,Adoption
A708422,Giblets,Partner,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Brown Tabby,Transfer
A660881,Travis,,Cat,Neutered Male,8 months,Domestic Shorthair Mix,Black Smoke,Adoption
A672332,Mickey,,Cat,Neutered Male,8 months,Domestic Shorthair Mix,Black,Adoption
A716279,Sampson,,Dog,Neutered Male,5 years,Labrador Retriever,Chocolate,Adoption
A664871,Perla,,Dog,Spayed Female,2 months,Labrador Retriever Mix,Tan/White,Adoption
A705770,Lucy Fox,Foster,Dog,Spayed Female,5 years,Chihuahua Shorthair Mix,Tan,Adoption
A607459,Plex,,Dog,Intact Male,4 years,Pit Bull Mix,Blue/White,Return_to_owner
A680799,,SCRP,Cat,Intact Female,3 years,Domestic Shorthair Mix,Black/White,Transfer
A695432,,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Black/White,Transfer
A720939,Candy,,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Tan/White,Adoption
A683304,Jc,Partner,Dog,Intact Male,2 years,Labrador Retriever,Chocolate,Transfer
A707122,Ally,Partner,Cat,Intact Female,2 months,Domestic Shorthair Mix,Brown Tabby,Transfer
A716219,Maggie,,Dog,Spayed Female,1 year,Australian Shepherd/Labrador Retriever,Chocolate/White,Adoption
A693158,Daisy,Foster,Dog,Spayed Female,2 years,Australian Cattle Dog,Blue Tick/Black,Adoption
A671175,Wedo,Partner,Dog,Neutered Male,2 years,Labrador Retriever Mix,Yellow/White,Transfer
A701084,Fluffy Butt,Partner,Cat,Spayed Female,10 months,Domestic Medium Hair Mix,Tortie,Transfer
A697021,Bruce,Partner,Dog,Neutered Male,1 year,Pit Bull Mix,Blue/White,Transfer
A689384,Lucas,,Dog,Neutered Male,1 year,Labrador Retriever/Plott Hound,Brown Brindle,Adoption
A694500,Zari,Partner,Dog,Spayed Female,9 years,Dachshund Mix,Red,Transfer
A688477,,Partner,Dog,Intact Female,5 years,Chihuahua Shorthair Mix,Black/White,Transfer
A672202,Belle,,Dog,Spayed Female,2 years,Pit Bull Mix,Black/White,Adoption
A697418,Mona,,Dog,Spayed Female,2 years,German Shepherd Mix,Black/Brown,Adoption
A699999,Max,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby,Adoption
A662941,Ruby,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Torbie,Adoption
A693553,Darrell,Partner,Dog,Neutered Male,4 years,Pug Mix,Fawn,Transfer
A668138,,Foster,Dog,Spayed Female,2 months,German Shepherd Mix,Black/Tan,Adoption
A706151,,Suffering,Cat,Unknown,4 weeks,Domestic Shorthair Mix,Brown Tabby/White,Euthanasia
A695266,Shadow,,Dog,Intact Male,3 years,Pit Bull Mix,Black/White,Return_to_owner
A682431,,Suffering,Cat,Unknown,3 months,Domestic Shorthair Mix,Gray Tabby,Euthanasia
A688871,Pandora,,Cat,Intact Female,2 months,Domestic Shorthair Mix,Black,Adoption
A679448,,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Orange Tabby,Transfer
A667185,Arya,,Dog,Spayed Female,2 years,Boston Terrier Mix,Black Brindle/White,Adoption
A655811,Dugan,,Dog,Neutered Male,1 year,Chinese Sharpei Mix,Black/Brown,Adoption
A683001,Moonpie,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie,Adoption
A712647,Cooper,,Dog,Neutered Male,4 years,Shih Tzu Mix,White,Return_to_owner
A693814,Chula,,Dog,Spayed Female,1 year,Miniature Poodle/Lhasa Apso,White/Gray,Adoption
A718058,Trixie,,Dog,Spayed Female,7 years,Doberman Pinsch Mix,Black/Tan,Adoption
A718086,,,Cat,Neutered Male,6 months,Domestic Shorthair Mix,Orange Tabby,Adoption
A679576,,SCRP,Cat,Intact Male,2 years,Domestic Shorthair Mix,Black,Transfer
A686684,Gandolf,Partner,Dog,Neutered Male,9 years,Shih Tzu Mix,White/Gray,Transfer
A686173,,Partner,Dog,Intact Female,3 weeks,Australian Kelpie Mix,Black/White,Transfer
A692321,Zooey,Partner,Dog,Spayed Female,8 years,Australian Cattle Dog Mix,White/Blue Tick,Transfer
A675055,,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Calico/White,Transfer
A720781,,SCRP,Cat,Unknown,,Domestic Shorthair Mix,Brown Tabby,Transfer
A663143,Roxy,,Dog,Spayed Female,1 year,Cairn Terrier Mix,White/Tan,Adoption
A712059,Hector,Aggressive,Dog,Neutered Male,3 years,Rottweiler Mix,Black/Tan,Euthanasia
A684487,Bella,,Dog,Spayed Female,11 months,Miniature Schnauzer Mix,Black/Brown,Adoption
A717126,Omar,Partner,Cat,Neutered Male,13 years,Domestic Shorthair Mix,Black,Transfer
A709276,Chili,,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Tan,Adoption
A679261,Toonami,,Cat,Neutered Male,3 years,Domestic Shorthair Mix,Brown Tabby,Adoption
A680041,,Suffering,Dog,Intact Female,12 years,Chihuahua Shorthair Mix,Black/White,Euthanasia
A686417,Pooh Bear,,Dog,Neutered Male,15 years,Chihuahua Shorthair Mix,Tan/Black,Adoption
A714541,Silver,,Dog,Neutered Male,1 year,Labrador Retriever Mix,Black/White,Adoption
A678355,,Partner,Dog,Intact Female,2 months,Labrador Retriever Mix,Cream,Transfer
A673789,Juliet,,Cat,Spayed Female,3 years,Snowshoe Mix,Chocolate Point,Adoption
A663530,Montgomery,Partner,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Tan/White,Transfer
A703091,,Partner,Cat,Unknown,3 days,Domestic Shorthair Mix,Black/White,Transfer
A686324,,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,White/Black,Transfer
A709375,Bubba,Partner,Dog,Neutered Male,2 years,Pit Bull Mix,Blue/White,Transfer
A619638,Charli Brown,Foster,Dog,Neutered Male,8 years,Labrador Retriever Mix,Chocolate,Adoption
A718874,,Suffering,Cat,Unknown,5 years,Domestic Shorthair Mix,White/Brown Tabby,Euthanasia
A664749,Andante,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black,Adoption
A697194,Ruby,,Dog,Intact Female,10 years,Rottweiler,Black/Brown,Adoption
A692196,Chula,In Foster,Cat,Spayed Female,12 years,Domestic Shorthair Mix,Tortie,Died
A716493,Missy,,Dog,Spayed Female,9 years,Dachshund Mix,White/Brown,Return_to_owner
A718591,Cricket,,Dog,Intact Female,1 year,Labrador Retriever/Beagle,Tan/White,Adoption
A310394,Carolina,,Dog,Spayed Female,11 years,Chow Chow/Cardigan Welsh Corgi,Red/White,Return_to_owner
A532505,Anne Bonnie,,Cat,Spayed Female,6 years,Domestic Shorthair Mix,Brown Tabby,Return_to_owner
A706723,,Partner,Dog,Intact Female,3 months,Pit Bull Mix,White/Blue,Transfer
A678354,,Partner,Dog,Intact Female,2 months,Labrador Retriever Mix,White/Cream,Transfer
A663678,Nessie,,Dog,Spayed Female,5 years,Labrador Retriever Mix,Chocolate,Adoption
A706455,,Suffering,Dog,Intact Female,12 years,Labrador Retriever Mix,Yellow,Euthanasia
A670682,,,Dog,Spayed Female,9 months,Chinese Sharpei Mix,Tan/White,Adoption
A687218,,Partner,Dog,Neutered Male,2 months,Border Collie Mix,Black/White,Transfer
A695109,Cupcake,,Dog,Spayed Female,9 months,Whippet Mix,Brown Brindle/White,Adoption
A702961,Hank,,Dog,Neutered Male,2 years,Redbone Hound Mix,Black/Red,Adoption
A662740,Tally,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,White/Black,Transfer
A681685,,,Dog,Spayed Female,1 year,Miniature Schnauzer/Miniature Poodle,Black/Gray,Adoption
A704665,,Partner,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Orange Tabby,Transfer
A710343,Seamus,,Dog,Neutered Male,2 months,Miniature Schnauzer/Miniature Poodle,Black,Adoption
A699593,Jack,,Dog,Neutered Male,1 year,Australian Shepherd Mix,Blue Merle,Return_to_owner
A719552,Cheyenne,,Dog,Spayed Female,10 years,German Shepherd Mix,Black/Tan,Adoption
A681483,Misty,,Dog,Spayed Female,2 years,Pit Bull Mix,Blue/White,Adoption
A712787,Ginger,,Cat,Spayed Female,7 years,Domestic Shorthair Mix,Calico,Adoption
A689871,Mocha,,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Chocolate/White,Adoption
A711270,,SCRP,Cat,Spayed Female,1 year,Domestic Medium Hair Mix,Brown Tabby/White,Transfer
A691870,Gambit,Partner,Dog,Neutered Male,7 years,Australian Cattle Dog Mix,Blue Merle/White,Transfer
A672321,Debo,,Dog,Neutered Male,3 years,Miniature Pinscher,Black/Brown,Return_to_owner
A685387,Kyra,,Dog,Spayed Female,10 months,Pointer/Pit Bull,Black/White,Adoption
A715517,Desi,,Dog,Spayed Female,1 year,Labrador Retriever/Pit Bull,Chocolate/White,Adoption
A674857,B.J.,,Dog,Neutered Male,2 months,Chihuahua Shorthair/Cairn Terrier,Brown,Adoption
A593164,Coco,,Dog,Spayed Female,12 years,Chihuahua Shorthair Mix,Chocolate/White,Return_to_owner
A668438,,Aggressive,Dog,Intact Male,2 years,Labrador Retriever Mix,Tan,Euthanasia
A700101,Maverick,Partner,Dog,Neutered Male,7 months,Labrador Retriever Mix,Chocolate/White,Transfer
A717073,Athena,,Dog,Intact Female,2 years,Alaskan Husky,Black/White,Return_to_owner
A701299,,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Black,Transfer
A685892,Sassy,Partner,Dog,Spayed Female,13 years,Pekingese Mix,Tan/White,Transfer
A708856,Booma,,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Black/Brown,Adoption
A683676,Ziggy,,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Black/White,Adoption
A675482,,Partner,Cat,Intact Male,3 days,Domestic Shorthair Mix,Blue/White,Transfer
A715368,Viola,,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Tortie,Adoption
A684278,,Partner,Cat,Intact Male,1 weeks,Manx Mix,Orange Tabby/White,Transfer
A694220,,SCRP,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Brown Tabby/White,Transfer
A692603,Crook,,Dog,Neutered Male,4 years,Pit Bull Mix,Fawn/White,Return_to_owner
A707234,,,Dog,Spayed Female,2 years,Boxer Mix,Red/White,Adoption
A704611,,Partner,Cat,Unknown,1 weeks,Domestic Shorthair Mix,Brown Tabby/White,Transfer
A685475,,Suffering,Dog,Spayed Female,8 years,Siberian Husky Mix,Cream,Euthanasia
A698935,Mia,,Dog,Spayed Female,2 years,Wire Hair Fox Terrier,Tricolor,Return_to_owner
A694664,Rex,,Dog,Neutered Male,2 months,German Shepherd Mix,Black/Tan,Return_to_owner
A706404,Xan,,Dog,Intact Female,2 years,German Shepherd,Black/Brown,Adoption
A681352,Charlotte,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Blue Tabby,Adoption
A717837,Mr. B,Partner,Cat,Neutered Male,11 months,Domestic Shorthair Mix,Orange Tabby/White,Transfer
A666035,Boo,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black,Adoption
A705005,Rose,Partner,Dog,Spayed Female,8 months,American Pit Bull Terrier Mix,Tan/White,Transfer
A693896,,,Dog,Neutered Male,2 months,Labrador Retriever Mix,Black/White,Adoption
A510475,Duke,,Dog,Neutered Male,7 years,Pit Bull Mix,Red/White,Return_to_owner
A710274,,SCRP,Cat,Spayed Female,6 months,Domestic Medium Hair Mix,Blue Tabby,Transfer
A644592,Zelda,,Dog,Spayed Female,11 months,Labrador Retriever Mix,Black,Return_to_owner
A679457,Nali,,Cat,Spayed Female,7 months,Domestic Shorthair Mix,Torbie,Adoption
A699901,Lily,,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,White/Buff,Return_to_owner
A687870,Lucky,,Dog,Neutered Male,2 years,Basset Hound/English Pointer,Chocolate/White,Return_to_owner
A673635,,,Dog,Neutered Male,9 months,Miniature Pinscher Mix,Tricolor,Adoption
A716175,,,Dog,Spayed Female,2 years,Miniature Pinscher Mix,Brown/Black,Adoption
A679835,Lola,,Dog,Spayed Female,7 years,Labrador Retriever Mix,Black/White,Adoption
A687551,,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Brown Tabby,Transfer
A540369,Kolben,,Dog,Neutered Male,7 years,German Shepherd Mix,Black,Return_to_owner
A718399,Charlie,,Dog,Neutered Male,2 years,American Pit Bull Terrier/Labrador Retriever,Chocolate/White,Return_to_owner
A683221,X,Partner,Cat,Intact Female,1 year,Domestic Shorthair Mix,Brown Tabby,Transfer
A666100,Sandy,,Dog,Intact Female,9 years,Labrador Retriever/Pit Bull,Red/White,Return_to_owner
A679431,Maui,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White,Adoption
A715721,Sharpie,Foster,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Black,Adoption
A677573,Sprinkles,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue Tabby,Adoption
A704278,Candy,,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Red/White,Adoption
A685953,Sprout,,Dog,Neutered Male,8 months,Labrador Retriever Mix,Brown/White,Adoption
A704986,Prince,In Kennel,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Blue Tabby,Died
A678184,June-Bug,,Dog,Spayed Female,15 years,Rat Terrier Mix,White/Black,Return_to_owner
A703328,Harley,,Cat,Intact Male,3 months,Domestic Shorthair Mix,White/Brown Tabby,Adoption
A666900,Luigi,,Dog,Neutered Male,1 year,Welsh Terrier Mix,Black/Brown,Adoption
A668017,Fiona,Partner,Dog,Spayed Female,8 months,Chihuahua Shorthair Mix,Black,Transfer
A694677,,SCRP,Cat,Unknown,1 year,Domestic Shorthair Mix,Brown Tabby,Transfer
A693792,Sadie,Foster,Dog,Spayed Female,1 month,Labrador Retriever Mix,Cream/White,Adoption
A685278,Pistachio,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black/White,Transfer
A702010,Hera,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Torbie,Adoption
A671373,Lola,,Dog,Spayed Female,5 years,Weimaraner Mix,Gray,Return_to_owner
A691248,Beau,Partner,Dog,Neutered Male,10 months,Chinese Sharpei,Black,Transfer
