query,duration
01a.sql,0.1382
01a.sql,0.1089
01a.sql,0.1118
01a.sql,0.1121
01a.sql,0.1117
01b.sql,0.1038
01b.sql,0.1038
01b.sql,0.1038
01b.sql,0.1035
01b.sql,0.1040
01c.sql,0.1077
01c.sql,0.1093
01c.sql,0.1113
01c.sql,0.1081
01c.sql,0.1024
01d.sql,0.0959
01d.sql,0.0923
01d.sql,0.0884
01d.sql,0.0868
01d.sql,0.0849
02a.sql,1.5976
02a.sql,0.5140
02a.sql,0.5097
02a.sql,0.5083
02a.sql,0.4205
02b.sql,0.4180
02b.sql,0.3210
02b.sql,0.3215
02b.sql,0.3232
02b.sql,0.3210
02c.sql,0.3032
02c.sql,0.3016
02c.sql,0.3029
02c.sql,0.3008
02c.sql,0.3029
02d.sql,1.2232
02d.sql,0.6173
02d.sql,0.4699
02d.sql,0.4355
02d.sql,0.4340
03a.sql,0.1467
03a.sql,0.1208
03a.sql,0.1205
03a.sql,0.1194
03a.sql,0.1203
03b.sql,0.0783
03b.sql,0.0752
03b.sql,0.0715
03b.sql,0.0732
03b.sql,0.0742
03c.sql,0.2316
03c.sql,0.2327
03c.sql,0.2313
03c.sql,0.2313
03c.sql,0.2314
04a.sql,0.0805
04a.sql,0.0746
04a.sql,0.0740
04a.sql,0.0750
04a.sql,0.0719
04b.sql,0.0458
04b.sql,0.0407
04b.sql,0.0388
04b.sql,0.0329
04b.sql,0.0309
04c.sql,0.0734
04c.sql,0.0704
04c.sql,0.0779
04c.sql,0.0822
04c.sql,0.0797
05a.sql,0.1739
05a.sql,0.1783
05a.sql,0.2397
05a.sql,0.2707
05a.sql,0.2720
05b.sql,0.2581
05b.sql,0.2564
05b.sql,0.2578
05b.sql,0.2529
05b.sql,0.2348
05c.sql,0.2904
05c.sql,0.2475
05c.sql,0.2246
05c.sql,0.2196
05c.sql,0.2188
06a.sql,0.4212
06a.sql,0.0155
06a.sql,0.0136
06a.sql,0.0137
06a.sql,0.0135
06b.sql,0.3770
06b.sql,0.2506
06b.sql,0.2465
06b.sql,0.2463
06b.sql,0.2461
06c.sql,0.0117
06c.sql,0.0112
06c.sql,0.0110
06c.sql,0.0106
06c.sql,0.0105
06d.sql,15.0358
06d.sql,5.1703
06d.sql,5.1698
06d.sql,5.1728
06d.sql,5.1666
06e.sql,0.0126
06e.sql,0.0103
06e.sql,0.0100
06e.sql,0.0084
06e.sql,0.0080
06f.sql,5.2929
06f.sql,5.2686
06f.sql,5.2823
06f.sql,5.2794
06f.sql,5.2829
07a.sql,0.7822
07a.sql,0.7445
07a.sql,0.7379
07a.sql,0.7426
07a.sql,0.7376
07b.sql,0.1894
07b.sql,0.1781
07b.sql,0.1805
07b.sql,0.1773
07b.sql,0.1775
07c.sql,9.5523
07c.sql,8.5118
07c.sql,8.4916
07c.sql,8.4800
07c.sql,8.5361
08a.sql,2.5402
08a.sql,2.6037
08a.sql,2.7506
08a.sql,2.5186
08a.sql,2.5959
08b.sql,0.2432
08b.sql,0.2035
08b.sql,0.2003
08b.sql,0.2894
08b.sql,0.2980
08c.sql,13.8031
08c.sql,12.1099
08c.sql,12.2188
08c.sql,12.0872
08c.sql,12.5876
08d.sql,3.8552
08d.sql,3.7837
08d.sql,3.3740
08d.sql,3.4694
08d.sql,4.1360
09a.sql,0.4296
09a.sql,0.3377
09a.sql,0.3347
09a.sql,0.4416
09a.sql,0.5174
09b.sql,0.4974
09b.sql,0.4868
09b.sql,0.4557
09b.sql,0.4911
09b.sql,0.4905
09c.sql,0.9667
09c.sql,0.8030
09c.sql,0.8398
09c.sql,0.8484
09c.sql,0.8136
09d.sql,7.7320
09d.sql,4.4469
09d.sql,4.4519
09d.sql,4.6424
09d.sql,4.6832
10a.sql,0.5055
10a.sql,0.5457
10a.sql,0.5444
10a.sql,0.5442
10a.sql,0.5216
10b.sql,0.2003
10b.sql,0.2072
10b.sql,0.2063
10b.sql,0.2077
10b.sql,0.2071
10c.sql,4.5038
10c.sql,3.3782
10c.sql,2.9438
10c.sql,2.8400
10c.sql,3.9374
11a.sql,0.0592
11a.sql,0.0440
11a.sql,0.0426
11a.sql,0.0413
11a.sql,0.0404
11b.sql,0.0138
11b.sql,0.0136
11b.sql,0.0134
11b.sql,0.0133
11b.sql,0.0131
11c.sql,0.1897
11c.sql,0.1584
11c.sql,0.1380
11c.sql,0.1287
11c.sql,0.1185
11d.sql,0.1181
11d.sql,0.1215
11d.sql,0.1175
11d.sql,0.1204
11d.sql,0.1171
12a.sql,0.2667
12a.sql,0.2695
12a.sql,0.3724
12a.sql,0.3846
12a.sql,0.3822
12b.sql,0.1173
12b.sql,0.1155
12b.sql,0.1151
12b.sql,0.1147
12b.sql,0.1151
12c.sql,1.5037
12c.sql,1.4900
12c.sql,1.5073
12c.sql,1.4999
12c.sql,1.4830
13a.sql,2.0851
13a.sql,2.4732
13a.sql,2.4970
13a.sql,2.4650
13a.sql,2.5152
13b.sql,1.1166
13b.sql,1.1185
13b.sql,1.0317
13b.sql,1.1131
13b.sql,1.0625
13c.sql,0.9635
13c.sql,1.0678
13c.sql,1.0808
13c.sql,1.0849
13c.sql,1.0895
13d.sql,6.3209
13d.sql,5.9838
13d.sql,6.3328
13d.sql,5.0504
13d.sql,5.7488
14a.sql,0.3385
14a.sql,0.3150
14a.sql,0.3098
14a.sql,0.3073
14a.sql,0.3056
14b.sql,0.1053
14b.sql,0.1057
14b.sql,0.1044
14b.sql,0.1072
14b.sql,0.1045
14c.sql,0.6106
14c.sql,0.6053
14c.sql,0.6030
14c.sql,0.6001
14c.sql,0.6032
15a.sql,0.4111
15a.sql,0.4131
15a.sql,0.4150
15a.sql,0.4166
15a.sql,0.4966
15b.sql,0.0554
15b.sql,0.0469
15b.sql,0.0486
15b.sql,0.0469
15b.sql,0.0445
15c.sql,1.1979
15c.sql,1.1788
15c.sql,1.1427
15c.sql,1.0173
15c.sql,1.1692
15d.sql,1.2988
15d.sql,1.3374
