Query,Millis,PreMillis,PostMillis,Tuples,Iterations,Lookups,NrIndexEntries,nrUniqueLookups,NrUctNodes,NrPlans,JoinCard,NrSamples,AvgReward,MaxReward,TotalWork
01a.sql,405,323,0,1680,3484,0,1242,1496,9,7,142,7,0.11193064326940272,0.5499321836051273,1.0
01b.sql,575,544,0,934,2041,0,1098,777,7,5,3,5,0.08950443904278729,0.44733824878276207,1.0
01c.sql,246,217,0,785,1583,0,1899,755,6,4,3,4,0.12728643241836665,0.502989130710453,1.0
01d.sql,542,520,0,924,1704,0,426,737,6,4,4,4,6.058403326983793E-5,9.348674133639671E-5,1.0
02a.sql,157,3,1,212486,525240,0,1457758862,185216,51,16,7834,1051,0.010544762335534728,0.4051078915331997,1.0
02b.sql,130,1,1,210123,522512,0,1458139935,183419,46,16,5228,1046,0.008339882912658296,0.4933359560587985,1.0
02c.sql,8,0,1,483,1013,0,114,458,5,3,0,3,2.678335349518262E-5,4.77170733988239E-5,1.0
02d.sql,266,22,9,313585,707685,0,1457965763,246883,46,17,68316,1416,0.05063236690445177,0.4136088237354556,1.0
03a.sql,563,536,0,17053,48976,0,111133443,19036,21,9,206,98,0.005741394931493507,0.11034669369334914,1.0
03b.sql,154,142,0,6275,13804,0,8603114,6957,23,10,5,28,0.04146585795030119,0.29414451721566953,1.0
03c.sql,843,810,0,30620,75379,0,111165451,30322,30,9,7250,151,0.05053810053275503,0.15210896841427637,1.0
04a.sql,347,320,0,20693,56231,0,174297434,21567,33,13,740,113,0.01057141829550794,0.13133880509297385,1.0
04b.sql,110,98,0,3946,8547,0,3367549,4046,21,11,6,18,0.04529032261749005,0.29366191216677784,1.0
04c.sql,673,640,1,40604,94078,0,167255228,33578,34,15,4700,189,0.028337193104121586,0.27917472990075487,1.0
05a.sql,424,410,0,227,502,0,50,224,4,2,0,2,1.599439084294823E-5,3.198878168589646E-5,1.0
05b.sql,217,204,0,1188,2502,0,1111726,1259,8,6,0,6,0.020069432478818747,0.08821453775582216,1.0
05c.sql,856,841,0,4507,10082,0,3238,4799,22,11,669,21,0.12420217640415207,0.5398216073984368,1.0
06a.sql,426,407,0,26205,57999,0,1650757,27406,51,23,6,116,0.004816874392566876,0.2714223073216938,1.0
06b.sql,360,348,0,1812,3946,0,360070,1951,10,7,12,8,0.038120244588312736,0.28342288127762655,1.0
06c.sql,387,377,0,1785,4101,0,80730,1722,11,7,2,9,0.06774876708503592,0.27342299775104223,1.0
06d.sql,721,698,0,21314,54735,0,2688187,26266,38,14,88,110,0.004527164141745618,0.2754213267639273,1.0
06e.sql,705,686,0,23471,54677,0,2135097,23448,50,24,6,110,0.010984436764657548,0.29060648465876115,1.0
06f.sql,2045,311,23,1625114,3271977,0,463234146,826366,44,17,785477,6544,0.12018484257630682,0.1620000000000035,1.0
07a.sql,415,388,0,21310,46639,0,157412,25883,35,28,32,94,0.01410336258244955,0.21538983422986438,1.0
07b.sql,294,276,0,5279,11274,0,111081,5718,26,22,16,23,0.011637586669006383,0.16295000062679965,1.0
07c.sql,1864,716,0,1928350,4953608,0,336932722,1905511,246,174,68185,9908,0.007008191853221419,0.19100000000030448,1.0
08a.sql,407,388,0,26777,55062,0,22476,27359,42,36,62,111,0.025275826780541518,0.4432624113475177,1.0
08b.sql,958,941,0,1957,3923,0,12788,1917,10,8,6,8,0.042263537475138065,0.31417369353885816,1.0
