Query,IsWarmup,Millis,PreMillis,JoinMillis,MatMillis,PostMillis,FilterMillis,IndexMillis,GroupByMillis,AggregateMillis,HavingMillis,OrderMillis,Tuples,Samples,Lookups,NrIndexEntries,nrUniqueLookups,NrPlans,JoinCard,AvgReward,MaxReward,TotalWork,DataSize,UctSize,StateSize,JoinSize
33c.sql,true,1403,1082,221,2,2,0,0,0,0,0,0,0,287,0,0,0,0,114,0.010459626570233105,0.3487046632124352,1.0,0,0,0,0
33b.sql,true,343,316,17,0,1,0,0,0,0,0,0,0,77,0,0,0,0,4,0.009030997714004431,0.05241782057203624,1.0,0,0,0,0
33a.sql,true,418,399,13,0,1,0,0,0,0,0,0,0,65,0,0,0,0,8,0.008108572534621194,0.05538207200587803,1.0,0,0,0,0
32b.sql,true,78,36,38,5,2,0,0,0,0,0,0,0,584,0,0,0,0,4388,0.012538362691685111,0.25488420356373415,1.0,0,0,0,0
32a.sql,true,58,56,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1.578136552141088E-4,4.828796278721472E-4,1.0,0,0,0,0
31c.sql,true,1727,1463,255,5,2,0,0,0,0,0,0,0,1512,0,0,0,0,2825,0.002798509257713227,0.13597096245372325,1.0,0,0,0,0
31b.sql,true,2788,2774,6,0,0,0,0,0,0,0,0,0,55,0,0,0,0,84,0.026746395239456208,0.2698236030028793,1.0,0,0,0,0
31a.sql,true,1631,1601,23,1,1,0,0,0,0,0,0,0,338,0,0,0,0,1273,0.0061384502243992415,0.1777194020033652,1.0,0,0,0,0
30c.sql,true,2119,1628,479,12,6,0,0,0,0,0,0,0,3258,0,0,0,0,8024,0.002923011280507144,0.027031231207108125,1.0,0,0,0,0
30b.sql,true,2302,2288,7,1,0,0,0,0,0,0,0,0,66,0,0,0,0,28,0.018542073353588123,0.30316543926087536,1.0,0,0,0,0
30a.sql,true,2181,2108,66,2,0,0,0,0,0,0,0,0,528,0,0,0,0,757,0.006007073669123092,0.25516732283464566,1.0,0,0,0,0
29c.sql,true,4139,3915,214,21,2,0,0,0,0,0,0,0,2798,0,0,0,0,16308,0.008909081898598622,0.3406239576870837,1.0,0,0,0,0
29b.sql,true,3273,3165,58,0,0,0,0,0,0,0,0,0,344,0,0,0,0,15,0.012066565528438846,0.4329491880565741,1.0,0,0,0,0
29a.sql,true,3689,3650,32,3,0,0,0,0,0,0,0,0,248,0,0,0,0,1620,0.05378768221957345,0.49525227638971203,1.0,0,0,0,0
28c.sql,true,1804,1683,112,8,1,0,0,0,0,0,0,0,809,0,0,0,0,8373,0.012429290101519844,0.19056710305517788,1.0,0,0,0,0
28b.sql,true,1427,1374,49,1,0,0,0,0,0,0,0,0,390,0,0,0,0,148,0.004638502824239442,0.33363931125357177,1.0,0,0,0,0
28a.sql,true,2012,1948,58,1,0,0,0,0,0,0,0,0,489,0,0,0,0,4803,0.014554201608482385,0.33359454810466393,1.0,0,0,0,0
27c.sql,true,1598,1579,15,0,0,0,0,0,0,0,0,0,125,0,0,0,0,743,0.02353824419303637,0.13300000000016343,1.0,0,0,0,0
27b.sql,true,967,946,16,1,0,0,0,0,0,0,0,0,117,0,0,0,0,247,0.026030021718586472,0.23146235271158727,1.0,0,0,0,0
27a.sql,true,1004,991,8,0,0,0,0,0,0,0,0,0,74,0,0,0,0,477,0.024487807164079153,0.1330000000000033,1.0,0,0,0,0
26c.sql,true,2777,2498,274,2,1,0,0,0,0,0,0,0,2315,0,0,0,0,5400,0.003222077812087087,0.31645267700023094,1.0,0,0,0,0
26b.sql,true,2443,2407,33,0,0,0,0,0,0,0,0,0,324,0,0,0,0,93,0.00566170266559758,0.34322232910386413,1.0,0,0,0,0
26a.sql,true,2990,2762,223,2,0,0,0,0,0,0,0,0,2978,0,0,0,0,1728,0.003731876105377112,0.3080579636743566,1.0,0,0,0,0
25c.sql,true,1854,1558,291,7,0,0,0,0,0,0,0,0,2081,0,0,0,0,26153,0.012979076659373569,0.03519096669442065,1.0,0,0,0,0
25b.sql,true,1581,1577,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,5.572918679807895E-5,1.232075180577047E-4,1.0,0,0,0,0
25a.sql,true,1601,1522,75,2,0,0,0,0,0,0,0,0,749,0,0,0,0,4407,0.006876532661010049,0.02428366819723781,1.0,0,0,0,0
24b.sql,true,3646,3634,8,0,0,0,0,0,0,0,0,0,84,0,0,0,0,45,0.017509867235664542,0.41461846393832874,1.0,0,0,0,0
24a.sql,true,3560,3541,14,0,0,0,0,0,0,0,0,0,129,0,0,0,0,275,0.010948791595947489,0.3406758911187271,1.0,0,0,0,0
23c.sql,true,2000,1991,6,0,0,0,0,0,0,0,0,0,57,0,0,0,0,628,0.05094534852610525,0.3202180663236636,1.0,0,0,0,0
23b.sql,true,2297,2289,5,0,0,0,0,0,0,0,0,0,53,0,0,0,0,16,0.024280912026602156,0.3439591617129835,1.0,0,0,0,0
23a.sql,true,1910,1902,5,0,0,0,0,0,0,0,0,0,52,0,0,0,0,618,0.05643932767455488,0.34398684046672323,1.0,0,0,0,0
22d.sql,true,1384,1272,107,11,1,0,0,0,0,0,0,0,1494,0,0,0,0,46281,0.031877382330445,0.15346555489825559,1.0,0,0,0,0
22c.sql,true,2845,2751,89,5,1,0,0,0,0,0,0,0,807,0,0,0,0,21489,0.02796358869716824,0.1584953752157377,1.0,0,0,0,0
22b.sql,true,1296,1253,39,1,0,0,0,0,0,0,0,0,308,0,0,0,0,31,0.0027177756819256904,0.15137841128465904,1.0,0,0,0,0
22a.sql,true,1352,1283,66,1,0,0,0,0,0,0,0,0,490,0,0,0,0,2851,0.007434483452705311,0.16877034169514882,1.0,0,0,0,0
21c.sql,true,1748,1732,13,1,0,0,0,0,0,0,0,0,120,0,0,0,0,1874,0.03579274682812485,0.25500000000049877,1.0,0,0,0,0
21b.sql,true,1029,1022,5,1,0,0,0,0,0,0,0,0,34,0,0,0,0,38,0.019458184019272524,0.10995815617196462,1.0,0,0,0,0
21a.sql,true,1388,1369,14,0,0,0,0,0,0,0,0,0,143,0,0,0,0,1410,0.03395709234821356,0.47752756855406225,1.0,0,0,0,0
20c.sql,true,2569,2349,205,2,0,0,0,0,0,0,0,0,2222,0,0,0,0,5406,0.0031770797777138787,0.3080411311277606,1.0,0,0,0,0
20b.sql,true,4739,4732,4,0,0,0,0,0,0,0,0,0,42,0,0,0,0,17,0.02058707029174915,0.31645267700023094,1.0,0,0,0,0
20a.sql,true,3342,3330,9,0,0,0,0,0,0,0,0,0,91,0,0,0,0,33,0.012387127776037737,0.3159013857959441,1.0,0,0,0,0
19d.sql,true,4003,1256,2736,724,8,0,0,0,0,0,0,0,45462,0,0,0,0,1760645,0.038927925038591785,0.41,1.0,0,0,0,0
19c.sql,true,4157,4084,72,1,0,0,0,0,0,0,0,0,491,0,0,0,0,3575,0.013925905891740267,0.3407635015107029,1.0,0,0,0,0
19b.sql,true,4867,4863,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,15,0.0025268594585824648,0.01654649657977445,1.0,0,0,0,0
19a.sql,true,4839,4829,7,1,0,0,0,0,0,0,0,0,63,0,0,0,0,184,0.03515967188121457,0.3406672582077269,1.0,0,0,0,0
18c.sql,true,1810,1631,176,11,1,0,0,0,0,0,0,0,2319,0,0,0,0,28073,0.013569538250964186,0.24129045643153527,1.0,0,0,0,0
18b.sql,true,1800,1790,8,0,0,0,0,0,0,0,0,0,106,0,0,0,0,11,0.021469105486582842,0.4600563909774436,1.0,0,0,0,0
18a.sql,true,2697,2668,27,1,0,0,0,0,0,0,0,0,331,0,0,0,0,410,0.00990751323631436,0.35597467231485014,1.0,0,0,0,0
17f.sql,true,3573,1391,2175,464,6,0,0,0,0,0,0,0,29005,0,0,0,0,1113120,0.03844519793426117,0.3011169683133356,1.0,0,0,0,0
17e.sql,true,5450,25,5417,862,7,0,0,0,0,0,0,0,113364,0,0,0,0,2832555,0.024978413168281286,0.35047769709663923,1.0,0,0,0,0
17d.sql,true,3027,2032,994,3,0,0,0,0,0,0,0,0,16184,0,0,0,0,11538,9.848244308529744E-4,0.3014481852389878,1.0,0,0,0,0
17c.sql,true,644,616,27,0,0,0,0,0,0,0,0,0,487,0,0,0,0,1918,0.007561684274472019,0.06564097116122436,1.0,0,0,0,0
17b.sql,true,1039,653,384,9,0,0,0,0,0,0,0,0,8852,0,0,0,0,52306,0.0061975447156010655,0.36023054755043227,1.0,0,0,0,0
17a.sql,true,1955,750,1201,96,3,0,0,0,0,0,0,0,20070,0,0,0,0,258289,0.013050572312608314,0.3044472221644121,1.0,0,0,0,0
16d.sql,true,479,189,283,80,5,0,0,0,0,0,0,0,4121,0,0,0,0,249455,0.06139608206760631,0.2577615495762878,1.0,0,0,0,0
16c.sql,true,566,176,385,105,3,0,0,0,0,0,0,0,4874,0,0,0,0,319932,0.06658312774491858,0.2820309666770866,1.0,0,0,0,0
16b.sql,true,3416,38,3360,1542,17,0,0,0,0,0,0,0,66344,0,0,0,0,3710592,0.05590534697043455,0.356,1.0,0,0,0,0
16a.sql,true,94,68,25,0,0,0,0,0,0,0,0,0,459,0,0,0,0,385,0.0068908812380370724,0.271830985915493,1.0,0,0,0,0
15d.sql,true,821,804,16,2,0,0,0,0,0,0,0,0,210,0,0,0,0,11347,0.06448422832759518,0.2604287886656705,1.0,0,0,0,0
15c.sql,true,1929,1921,5,0,1,0,0,0,0,0,0,0,52,0,0,0,0,2271,0.0751319621976346,0.49211660293687465,1.0,0,0,0,0
15b.sql,true,1916,1909,4,0,0,0,0,0,0,0,0,0,30,0,0,0,0,37,0.043948650060914266,0.35773972602739723,1.0,0,0,0,0
15a.sql,true,1955,1949,4,0,0,0,0,0,0,0,0,0,36,0,0,0,0,328,0.05968119202893128,0.5016107826905812,1.0,0,0,0,0
14c.sql,true,1178,1130,44,2,0,0,0,0,0,0,0,0,449,0,0,0,0,4115,0.010986482498012236,0.15544861168875712,1.0,0,0,0,0
14b.sql,true,1284,1280,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0.06868997035172578,0.27472527472527475,1.0,0,0,0,0
14a.sql,true,1244,1153,61,0,0,0,0,0,0,0,0,0,344,0,0,0,0,761,0.005284934937806547,0.3037952561502771,1.0,0,0,0,0
13d.sql,true,2364,22,2336,312,5,0,0,0,0,0,0,0,45485,0,0,0,0,670390,0.014813686012066379,0.3425396874157281,1.0,0,0,0,0
13c.sql,true,566,562,3,1,0,0,0,0,0,0,0,0,29,0,0,0,0,53,0.06696668532635,0.3112191780821918,1.0,0,0,0,0
13b.sql,true,1229,1224,3,0,0,0,0,0,0,0,0,0,43,0,0,0,0,372,0.05316939268396285,0.298489942052213,1.0,0,0,0,0
13a.sql,true,440,25,411,33,1,0,0,0,0,0,0,0,6489,0,0,0,0,111101,0.017797682213214348,0.27785264996248804,1.0,0,0,0,0
12c.sql,true,667,558,107,1,0,0,0,0,0,0,0,0,2147,0,0,0,0,4711,0.004025460874732297,0.2564575645756457,1.0,0,0,0,0
12b.sql,true,619,615,2,0,0,0,0,0,0,0,0,0,20,0,0,0,0,10,0.07823105101124558,0.5049997213857728,1.0,0,0,0,0
12a.sql,true,415,401,12,0,0,0,0,0,0,0,0,0,134,0,0,0,0,397,0.022524506371865205,0.4475679611650485,1.0,0,0,0,0
11d.sql,true,1196,833,361,5,0,0,0,0,0,0,0,0,11586,0,0,0,0,14899,0.004273442089873234,0.3261488813344366,1.0,0,0,0,0
11c.sql,true,1033,934,96,3,0,0,0,0,0,0,0,0,3494,0,0,0,0,6946,0.004653176887762519,0.2910543884325139,1.0,0,0,0,0
11b.sql,true,903,900,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,14,0.01656832349901657,0.03313664699803314,1.0,0,0,0,0
11a.sql,true,840,803,35,1,0,0,0,0,0,0,0,0,44,0,0,0,0,310,0.027807057304587133,0.1440070753386696,1.0,0,0,0,0
10c.sql,true,2400,2279,120,0,0,0,0,0,0,0,0,0,5859,0,0,0,0,10,7.899281871486451E-4,0.4496402877697842,1.0,0,0,0,0
10b.sql,true,1858,1857,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,-Infinity,1.0,0,0,0,0
10a.sql,true,1191,1179,11,0,0,0,0,0,0,0,0,0,165,0,0,0,0,104,0.011433948421973133,0.4392523364485981,1.0,0,0,0,0
09d.sql,true,1819,659,1148,334,10,0,0,0,0,0,0,0,20022,0,0,0,0,483082,0.02434832289947689,0.3596307432506586,1.0,0,0,0,0
09c.sql,true,1938,1902,33,2,1,0,0,0,0,0,0,0,490,0,0,0,0,8144,0.022781829986699396,0.34067569312798945,1.0,0,0,0,0
09b.sql,true,2204,2197,4,0,0,0,0,0,0,0,0,0,43,0,0,0,0,40,0.044623634748449166,0.3438473623944825,1.0,0,0,0,0
09a.sql,true,2613,2606,5,0,0,0,0,0,0,0,0,0,54,0,0,0,0,121,0.04307573714376171,0.4199288256227758,1.0,0,0,0,0
08d.sql,true,546,13,528,119,3,0,0,0,0,0,0,0,9284,0,0,0,0,323005,0.03478027346607417,0.40160164234520573,1.0,0,0,0,0
08c.sql,true,6448,26,6409,1074,12,0,0,0,0,0,0,0,129946,0,0,0,0,2487611,0.019145348248135692,0.4355400696864111,1.0,0,0,0,0
08b.sql,true,2473,2470,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,6,0.048570836072999675,0.31385681293302536,1.0,0,0,0,0
08a.sql,true,2107,2101,5,0,0,0,0,0,0,0,0,0,112,0,0,0,0,62,0.022529349535420944,0.313156832064124,1.0,0,0,0,0
