Query,Millis,PreMillis,PostMillis,Tuples,Iterations,Lookups,NrIndexEntries,nrUniqueLookups,NrUctNodes,NrPlans,JoinCard,NrSamples,AvgReward,MaxReward,TotalWork
q1-1.sql,2730,1462,65,1193510,1194802,0,3895878327,928,18,2,1192215,2390,0.49983616152542204,0.539584277833245,1.0
q1-2.sql,869,783,13,42924,43700,0,57349526,745,10,2,42148,88,0.49327186881388047,0.5959731010118459,1.0
q1-3.sql,742,688,5,67235,68272,0,89495995,988,14,2,66198,137,0.49332529947593146,0.5933110627624069,1.0
q2-1.sql,2667,47,203,3456654,9341805,0,253413777,2935192,42,9,497009,18684,0.026728947138784747,0.3094059405940594,1.0
q2-2.sql,386,27,34,683383,1849556,0,68750874,581854,37,9,96682,3700,0.02663452479667058,0.44802867383512546,1.0
q2-3.sql,75,20,7,87847,237856,0,23405826,75087,27,9,12134,476,0.02706562011791989,0.09039163669770602,1.0
q3-1.sql,6562,29,350,17925394,40272174,0,4613880266,15686862,45,11,2196234,80545,0.0273448275551791,0.22908796429212566,1.0
q3-2.sql,760,13,108,2723123,6194626,0,637031391,2627230,46,11,87593,12390,0.007428495751146611,0.20946778968265467,1.0
q3-3.sql,335,15,6,643309,1558520,0,296027518,638264,37,9,3307,3118,0.0021700049886582383,0.10501511601660272,1.0
q4-1.sql,7529,80,270,20076832,49278356,0,4489877202,19058932,63,24,977326,98557,0.009968790917915535,0.145555537839756,1.0
q4-2.sql,4813,65,114,15684346,37572369,0,1101591658,15409630,76,25,234575,75145,0.0031894141498173085,0.13033081018531908,1.0
q4-3.sql,2314,28,11,4007443,11992968,0,7445450622,3987468,72,24,4662,23986,3.370509788577426E-4,0.015093176221569759,1.0
