Query,IsWarmup,Millis,PreMillis,JoinMillis,MatMillis,PostMillis,FilterMillis,IndexMillis,GroupByMillis,AggregateMillis,HavingMillis,OrderMillis,Tuples,Samples,Lookups,NrIndexEntries,nrUniqueLookups,NrPlans,JoinCard,AvgReward,MaxReward,TotalWork,DataSize,UctSize,StateSize,JoinSize
q4-3.sql,true,3719,380,3285,52,32,0,0,0,0,0,0,0,19128,0,0,0,0,4662,4.079683251463896E-4,0.013353875731394908,1.0,0,0,0,0
q4-2.sql,true,5209,139,4882,453,183,0,0,0,0,0,0,0,93721,0,0,0,0,234575,0.002510218749129325,0.2340416921934928,1.0,0,0,0,0
q4-1.sql,true,6604,102,6205,1002,293,0,0,0,0,0,0,0,84430,0,0,0,0,977326,0.01161437400440338,0.12658128414259728,1.0,0,0,0,0
q3-3.sql,true,211,10,193,2,5,0,0,0,0,0,0,0,2240,0,0,0,0,3307,0.0029549145363579306,0.10458675748674957,1.0,0,0,0,0
q3-2.sql,true,794,12,760,48,18,0,0,0,0,0,0,0,12115,0,0,0,0,87593,0.007579452328299029,0.21002699738997152,1.0,0,0,0,0
q3-1.sql,true,5082,70,4769,1752,241,0,0,0,0,0,0,0,74356,0,0,0,0,2196234,0.02955735170281792,0.2188267173444778,1.0,0,0,0,0
q2-3.sql,true,138,25,107,5,5,0,0,0,0,0,0,0,478,0,0,0,0,12134,0.027097228597175987,0.17123250956653002,1.0,0,0,0,0
q2-2.sql,true,852,19,760,90,71,0,0,0,0,0,0,0,3711,0,0,0,0,96682,0.026465614355799125,0.36656891495601174,1.0,0,0,0,0
q2-1.sql,true,2262,23,2199,297,38,0,0,0,0,0,0,0,18744,0,0,0,0,497009,0.026596896893550433,0.37537537537537535,1.0,0,0,0,0
q1-3.sql,true,1163,1124,33,19,5,0,0,0,0,0,0,0,137,0,0,0,0,66198,0.49115138317211227,0.5932414402487552,1.0,0,0,0,0
q1-2.sql,true,1292,1266,22,13,3,0,0,0,0,0,0,0,87,0,0,0,0,42148,0.4967679095213741,0.5951629811519643,1.0,0,0,0,0
q1-1.sql,true,2513,1596,882,534,34,0,0,0,0,0,0,0,2395,0,0,0,0,1192215,0.49784907160727276,0.5373846593687599,1.0,0,0,0,0
