Col:   0, Unique:    14, ValueType:  INT32
Col:   1, Unique:   525, ValueType: STRING
Col:   2, Unique:    22, ValueType:  INT32
Col:   3, Unique:    46, ValueType: STRING
Col:   4, Unique:  6494, ValueType:  INT32
Col:   5, Unique:     2, ValueType:CHARACTER
Col:   6, Unique:     2, ValueType:CHARACTER
Col:   7, Unique:  1185, ValueType:  INT32
Col:   8, Unique:     4, ValueType:CHARACTER
Col:   9, Unique:     2, ValueType:CHARACTER
Col:  10, Unique:     2, ValueType:CHARACTER
Col:  11, Unique:     2, ValueType:CHARACTER
Col:  12, Unique:     2, ValueType:CHARACTER
Col:  13, Unique:    12, ValueType: STRING
Col:  14, Unique:    17, ValueType: STRING
Col:  15, Unique:    54, ValueType:  INT32
Col:  16, Unique:    76, ValueType:  INT32
Col:  17, Unique:     3, ValueType:CHARACTER
Col:  18, Unique:     3, ValueType:CHARACTER
Col:  19, Unique:     3, ValueType:CHARACTER
Col:  20, Unique:     4, ValueType:CHARACTER
Col:  21, Unique:     4, ValueType:CHARACTER
Col:  22, Unique:     4, ValueType:CHARACTER
Col:  23, Unique:     6, ValueType:  INT32
Col:  24, Unique:     8, ValueType:  INT32
Col:  25, Unique:     7, ValueType:CHARACTER
Col:  26, Unique:    11, ValueType:  INT32
Col:  27, Unique:    79, ValueType:  INT32
Col:  28, Unique:     7, ValueType:  INT32
Col:  29, Unique:     7, ValueType:  INT32
Col:  30, Unique:    11, ValueType:  INT32
Col:  31, Unique:     4, ValueType:  INT32
Col:  32, Unique:     9, ValueType:  INT32
Col:  33, Unique:     5, ValueType:  INT32
Col:  34, Unique:     4, ValueType:  INT32
Col:  35, Unique:     6, ValueType:  INT32
Col:  36, Unique:     9, ValueType:  INT32
Col:  37, Unique:    17, ValueType:  INT32
Col:  38, Unique:     9, ValueType:  INT32
Col:  39, Unique:     9, ValueType:  INT32
Col:  40, Unique:     3, ValueType:BOOLEAN
Col:  41, Unique:    14, ValueType:  INT32
Col:  42, Unique:     4, ValueType:  INT32
Col:  43, Unique:   126, ValueType:  INT32
Col:  44, Unique:    72, ValueType:  INT32
Col:  45, Unique:    78, ValueType:  INT32
Col:  46, Unique:    92, ValueType:  INT32
Col:  47, Unique:    36, ValueType:  INT32
Col:  48, Unique:    61, ValueType:  INT32
Col:  49, Unique:    55, ValueType:  INT32
Col:  50, Unique:     2, ValueType:  INT32
Col:  51, Unique:     4, ValueType:  INT32
Col:  52, Unique:     2, ValueType:CHARACTER
Col:  53, Unique:    11, ValueType:  INT32
Col:  54, Unique:     8, ValueType:  INT32
Col:  55, Unique:     2, ValueType:CHARACTER
Col:  56, Unique:     2, ValueType:CHARACTER
Col:  57, Unique:     2, ValueType:CHARACTER
Col:  58, Unique:     2, ValueType:CHARACTER
Col:  59, Unique:     2, ValueType:CHARACTER
Col:  60, Unique:     2, ValueType:CHARACTER
Col:  61, Unique:     2, ValueType:CHARACTER
Col:  62, Unique:     2, ValueType:CHARACTER
Col:  63, Unique:     2, ValueType:CHARACTER
Col:  64, Unique:     2, ValueType:CHARACTER
Col:  65, Unique:     2, ValueType:CHARACTER
Col:  66, Unique:     2, ValueType:CHARACTER
Col:  67, Unique:     2, ValueType:CHARACTER
Col:  68, Unique:     2, ValueType:CHARACTER
Col:  69, Unique:     2, ValueType:CHARACTER
Col:  70, Unique:     2, ValueType:CHARACTER
Col:  71, Unique:     2, ValueType:CHARACTER
Col:  72, Unique:     2, ValueType:CHARACTER
Col:  73, Unique:     4, ValueType:  INT32
Col:  74, Unique:     2, ValueType:CHARACTER
Col:  75, Unique:  4591, ValueType:  INT32
Col:  76, Unique:  1718, ValueType:  INT32
Col:  77, Unique:  2041, ValueType:  INT32
Col:  78, Unique:    98, ValueType:  INT32
Col:  79, Unique:   151, ValueType:  INT32
Col:  80, Unique:   107, ValueType:  INT32
Col:  81, Unique:    67, ValueType:  INT32
Col:  82, Unique:    67, ValueType:  INT32
Col:  83, Unique:   113, ValueType:  INT32
Col:  84, Unique:   224, ValueType:  INT32
Col:  85, Unique:   120, ValueType:  INT32
Col:  86, Unique:   176, ValueType:  INT32
Col:  87, Unique:   203, ValueType:  INT32
Col:  88, Unique:    14, ValueType:  INT32
Col:  89, Unique:    91, ValueType:  INT32
Col:  90, Unique:    81, ValueType:  INT32
Col:  91, Unique:    89, ValueType:  INT32
Col:  92, Unique:    29, ValueType:  INT32
Col:  93, Unique:    45, ValueType:  INT32
Col:  94, Unique:    20, ValueType:  INT32
Col:  95, Unique:   156, ValueType:  INT32
Col:  96, Unique:    22, ValueType:  INT32
Col:  97, Unique:   123, ValueType:  INT32
Col:  98, Unique:   106, ValueType:  INT32
Col:  99, Unique:    67, ValueType:  INT32
Col: 100, Unique:    69, ValueType:  INT32
Col: 101, Unique:    54, ValueType:  INT32
Col: 102, Unique:    67, ValueType:  INT32
