query,join_intermediates
01a.sql,681
01b.sql,118
01c.sql,299
01d.sql,119
02a.sql,206060
02b.sql,200848
02c.sql,190392
02d.sql,300548
03a.sql,15392
03b.sql,13361
03c.sql,28075
04a.sql,27974
04b.sql,13284
04c.sql,40700
05a.sql,0
05b.sql,0
05c.sql,2903
06a.sql,1255
06b.sql,35979
06c.sql,51
06d.sql,835278
06e.sql,1255
06f.sql,1620667
07a.sql,129552
07b.sql,40152
07c.sql,1432179
08a.sql,141135
08b.sql,8786
08c.sql,13798896
08d.sql,2591550
09a.sql,3178
09b.sql,2291
09c.sql,69292
09d.sql,2063365
10a.sql,13800
10b.sql,12663
10c.sql,2589284
11a.sql,20800
11b.sql,5562
11c.sql,92157
11d.sql,97685
12a.sql,117867
12b.sql,1308
12c.sql,802151
13a.sql,2849322
13b.sql,463396
13c.sql,460447
13d.sql,7279691
14a.sql,47388
14b.sql,19565
14c.sql,82752
15a.sql,63497
15b.sql,438
15c.sql,29942
15d.sql,117907
16a.sql,43096
16b.sql,9676250
16c.sql,831860
16d.sql,650653
17a.sql,3391392
17b.sql,1243793
17c.sql,1086237
17d.sql,1107253
17e.sql,5965658
17f.sql,3497807
18a.sql,7543849
18b.sql,22996
18c.sql,852077
19a.sql,3421
19b.sql,1333
19c.sql,1409268
19d.sql,8706534
20a.sql,89325832
20b.sql,41727617
20c.sql,42883364
21a.sql,44385
21b.sql,15696
21c.sql,25032
22a.sql,82740
22b.sql,45061
22c.sql,261524
22d.sql,414998
23a.sql,31418
23b.sql,30816
23c.sql,39840
24a.sql,17950
24b.sql,1081
25a.sql,301502
25b.sql,62153
25c.sql,558428
26a.sql,474030
26b.sql,295747
26c.sql,1392587
27a.sql,13506
27b.sql,16283
27c.sql,9886
28a.sql,1016217
28b.sql,111007
28c.sql,1611017
29a.sql,789923
29b.sql,3504
29c.sql,188488
30a.sql,1208936
30b.sql,54559
30c.sql,933043
31a.sql,939096
31b.sql,77600
31c.sql,944860
32a.sql,1
32b.sql,59392
33a.sql,26484
33b.sql,21226
33c.sql,101460
