Query,Millis,PreMillis,PostMillis,Tuples,Iterations,Lookups,NrIndexEntries,nrUniqueLookups,NrUctNodes,NrPlans,JoinCard,NrSamples,AvgReward,MaxReward,TotalWork
01a.sql,1202,1044,1,1894,3946,0,20120,1816,10,7,142,8,0.10095869817035223,0.5499321762325183,1.0
01b.sql,2067,1834,0,1147,2544,0,1195,1053,8,6,3,6,0.07459732408461085,0.44733055548233214,1.0
01c.sql,1326,1298,0,1442,3046,0,24992,1372,9,6,3,7,0.0739010377823405,0.5029891287489509,1.0
01d.sql,3718,3696,1,1155,2547,0,744,1116,8,6,4,6,0.07462880415904559,0.44733060659119217,1.0
02a.sql,1082,3,1,435897,971727,0,1457950935,396225,58,20,7834,1944,0.005700853025543986,0.40313594417634385,1.0
02b.sql,617,1,1,232694,590661,0,1458008842,210804,45,15,5228,1182,0.0071793147022420935,0.42236985712050545,1.0
02c.sql,61,54,0,671,1519,0,1028,693,6,4,0,4,1.0876301781828695E-5,2.6597713489937236E-5,1.0
02d.sql,815,21,10,305593,683733,0,1458474020,225272,48,16,68316,1368,0.05235203148532976,0.4174771621803963,1.0
03a.sql,4610,4581,0,16602,47377,0,111107927,17648,20,7,206,95,0.005861652377625603,0.11679942311270328,1.0
03b.sql,701,411,0,5287,11356,0,3715393,5668,20,9,5,23,0.048632431881731025,0.263768115942029,1.0
03c.sql,3017,2981,1,30636,75189,0,111165462,30361,28,10,7250,151,0.05126875848111905,0.20804875878116935,1.0
04a.sql,1196,1169,0,20570,56002,0,172179330,21619,34,15,740,113,0.013543047608459015,0.44884963731428335,1.0
04b.sql,1676,1664,0,4099,8968,0,3379056,4540,21,11,6,18,0.028120624283367052,0.15089144414579175,1.0
04c.sql,2803,2758,0,39529,91935,0,175996078,32758,33,15,4700,184,0.027933187266117532,0.13636884862589851,1.0
05a.sql,2952,2939,0,1,2,0,0,1,3,1,0,1,0.0,-Infinity,1.0
05b.sql,1176,1021,0,1189,2502,0,126,1212,8,6,0,6,0.019978188347196685,0.08815232722143865,1.0
05c.sql,2896,2832,0,4910,10715,0,156085,5132,22,12,669,22,0.1119485403135699,0.5317735669001608,1.0
