query,duration
q1-1.sql,91.4935
q1-1.sql,38.8906
q1-1.sql,39.0193
q1-1.sql,39.6174
q1-1.sql,35.6524
q1-2.sql,35.0737
q1-2.sql,34.0142
q1-2.sql,38.3085
q1-2.sql,33.2562
q1-2.sql,32.3206
q1-3.sql,35.2233
q1-3.sql,36.6166
q1-3.sql,34.4447
q1-3.sql,34.8258
q1-3.sql,34.0393
q2-1.sql,52.2750
q2-1.sql,49.5873
q2-1.sql,52.2402
q2-1.sql,51.7651
q2-1.sql,55.8760
q2-2.sql,16.9815
q2-2.sql,13.9384
q2-2.sql,14.8138
q2-2.sql,14.1392
q2-2.sql,14.3804
q2-3.sql,2.6132
q2-3.sql,2.4109
q2-3.sql,2.3871
q2-3.sql,2.2772
q2-3.sql,2.3157
q3-1.sql,69.1895
q3-1.sql,68.9929
q3-1.sql,68.5491
q3-1.sql,68.7316
q3-1.sql,69.5224
q3-2.sql,60.2375
q3-2.sql,55.2615
q3-2.sql,54.2392
q3-2.sql,50.6820
q3-2.sql,53.6986
q3-3.sql,17.1470
q3-3.sql,16.1532
q3-3.sql,15.5036
q3-3.sql,15.9891
q3-3.sql,15.0025
q4-1.sql,66.0822
q4-1.sql,68.0195
q4-1.sql,68.7152
q4-1.sql,70.9927
q4-1.sql,66.8951
q4-2.sql,66.1494
q4-2.sql,63.3143
q4-2.sql,60.2588
q4-2.sql,65.8646
q4-2.sql,65.7835
q4-3.sql,52.1618
q4-3.sql,51.0183
q4-3.sql,55.0163
q4-3.sql,48.5453
q4-3.sql,55.8358
